FISHID,Increment_21Edge,Date
BL0038,increment14,2009-08-19
BL0038,increment15,2009-08-20
BL0038,increment16,2009-08-21
BL0038,increment17,2009-08-22
BL0038,increment18,2009-08-23
BL0038,increment19,2009-08-24
BL0038,increment2,2009-08-07
BL0038,increment20,2009-08-25
BL0038,increment21,2009-08-26
BL0038,increment3,2009-08-08
BL0038,increment4,2009-08-09
BL0038,increment5,2009-08-10
BL0038,increment6,2009-08-11
BL0038,increment7,2009-08-12
BL0038,increment8,2009-08-13
BL0038,increment9,2009-08-14
BL0041,increment1,2009-08-06
BL0041,increment10,2009-08-15
BL0041,increment11,2009-08-16
BL0041,increment12,2009-08-17
BL0041,increment13,2009-08-18
BL0041,increment14,2009-08-19
BL0041,increment15,2009-08-20
BL0041,increment16,2009-08-21
BL0041,increment17,2009-08-22
BL0041,increment18,2009-08-23
BL0041,increment19,2009-08-24
BL0041,increment2,2009-08-07
BL0041,increment20,2009-08-25
BL0041,increment21,2009-08-26
BL0041,increment3,2009-08-08
BL0041,increment4,2009-08-09
BL0041,increment5,2009-08-10
BL0041,increment6,2009-08-11
BL0041,increment7,2009-08-12
BL0041,increment8,2009-08-13
BL0041,increment9,2009-08-14
BL0054,increment1,2009-06-25
BL0054,increment10,2009-07-04
BL0054,increment11,2009-07-05
BL0054,increment12,2009-07-06
BL0054,increment13,2009-07-07
BL0054,increment14,2009-07-08
BL0054,increment15,2009-07-09
BL0054,increment16,2009-07-10
BL0054,increment17,2009-07-11
BL0054,increment18,2009-07-12
BL0054,increment19,2009-07-13
BL0054,increment2,2009-06-26
BL0054,increment20,2009-07-14
BL0054,increment21,2009-07-15
BL0054,increment3,2009-06-27
BL0054,increment4,2009-06-28
BL0054,increment5,2009-06-29
BL0054,increment6,2009-06-30
BL0054,increment7,2009-07-01
BL0054,increment8,2009-07-02
BL0054,increment9,2009-07-03
BL0057,increment1,2009-06-25
BL0057,increment10,2009-07-04
BL0057,increment11,2009-07-05
BL0057,increment12,2009-07-06
BL0057,increment13,2009-07-07
BL0057,increment14,2009-07-08
BL0057,increment15,2009-07-09
BL0057,increment16,2009-07-10
BL0057,increment17,2009-07-11
BL0057,increment18,2009-07-12
BL0057,increment19,2009-07-13
BL0057,increment2,2009-06-26
BL0057,increment20,2009-07-14
BL0057,increment21,2009-07-15
BL0057,increment3,2009-06-27
BL0057,increment4,2009-06-28
BL0057,increment5,2009-06-29
BL0057,increment6,2009-06-30
BL0057,increment7,2009-07-01
BL0057,increment8,2009-07-02
BL0057,increment9,2009-07-03
BL0058,increment1,2009-06-25
BL0058,increment10,2009-07-04
BL0058,increment11,2009-07-05
BL0058,increment12,2009-07-06
BL0058,increment13,2009-07-07
BL0058,increment14,2009-07-08
BL0058,increment15,2009-07-09
BL0058,increment16,2009-07-10
BL0058,increment17,2009-07-11
BL0058,increment18,2009-07-12
BL0058,increment19,2009-07-13
BL0058,increment2,2009-06-26
BL0058,increment20,2009-07-14
BL0058,increment21,2009-07-15
BL0058,increment3,2009-06-27
BL0058,increment4,2009-06-28
BL0058,increment5,2009-06-29
BL0058,increment6,2009-06-30
BL0058,increment7,2009-07-01
BL0058,increment8,2009-07-02
BL0058,increment9,2009-07-03
BL0059,increment1,2009-06-25
BL0059,increment10,2009-07-04
BL0059,increment11,2009-07-05
BL0059,increment12,2009-07-06
BL0059,increment13,2009-07-07
BL0059,increment14,2009-07-08
BL0059,increment15,2009-07-09
BL0059,increment16,2009-07-10
BL0059,increment17,2009-07-11
BL0059,increment18,2009-07-12
BL0059,increment19,2009-07-13
BL0059,increment2,2009-06-26
BL0059,increment20,2009-07-14
BL0059,increment21,2009-07-15
BL0059,increment3,2009-06-27
BL0059,increment4,2009-06-28
BL0059,increment5,2009-06-29
BL0059,increment6,2009-06-30
BL0059,increment7,2009-07-01
BL0059,increment8,2009-07-02
BL0059,increment9,2009-07-03
BL0060,increment1,2009-06-25
BL0060,increment10,2009-07-04
BL0060,increment11,2009-07-05
BL0060,increment12,2009-07-06
BL0060,increment13,2009-07-07
BL0060,increment14,2009-07-08
BL0060,increment15,2009-07-09
BL0060,increment16,2009-07-10
BL0060,increment17,2009-07-11
BL0060,increment18,2009-07-12
BL0060,increment19,2009-07-13
BL0060,increment2,2009-06-26
BL0060,increment20,2009-07-14
BL0060,increment21,2009-07-15
BL0060,increment3,2009-06-27
BL0060,increment4,2009-06-28
BL0060,increment5,2009-06-29
BL0060,increment6,2009-06-30
BL0060,increment7,2009-07-01
BL0060,increment8,2009-07-02
BL0060,increment9,2009-07-03
BL0061,increment1,2009-06-25
BL0061,increment10,2009-07-04
BL0061,increment11,2009-07-05
BL0061,increment12,2009-07-06
BL0061,increment13,2009-07-07
BL0061,increment14,2009-07-08
BL0061,increment15,2009-07-09
BL0061,increment16,2009-07-10
BL0061,increment17,2009-07-11
BL0061,increment18,2009-07-12
BL0061,increment19,2009-07-13
BL0061,increment2,2009-06-26
BL0061,increment20,2009-07-14
BL0061,increment21,2009-07-15
BL0061,increment3,2009-06-27
BL0061,increment4,2009-06-28
BL0061,increment5,2009-06-29
BL0061,increment6,2009-06-30
BL0061,increment7,2009-07-01
BL0061,increment8,2009-07-02
BL0061,increment9,2009-07-03
BL0062,increment1,2009-07-07
BL0062,increment10,2009-07-16
BL0062,increment11,2009-07-17
BL0062,increment12,2009-07-18
BL0062,increment13,2009-07-19
BL0062,increment14,2009-07-20
BL0062,increment15,2009-07-21
BL0062,increment16,2009-07-22
BL0062,increment17,2009-07-23
BL0062,increment18,2009-07-24
BL0062,increment19,2009-07-25
BL0062,increment2,2009-07-08
BL0062,increment20,2009-07-26
BL0062,increment21,2009-07-27
BL0062,increment3,2009-07-09
BL0062,increment4,2009-07-10
BL0062,increment5,2009-07-11
BL0062,increment6,2009-07-12
BL0062,increment7,2009-07-13
BL0062,increment8,2009-07-14
BL0062,increment9,2009-07-15
BL0063,increment1,2009-06-25
BL0063,increment10,2009-07-04
BL0063,increment11,2009-07-05
BL0063,increment12,2009-07-06
BL0063,increment13,2009-07-07
BL0063,increment14,2009-07-08
BL0063,increment15,2009-07-09
BL0063,increment16,2009-07-10
BL0063,increment17,2009-07-11
BL0063,increment18,2009-07-12
BL0063,increment19,2009-07-13
BL0063,increment2,2009-06-26
BL0063,increment20,2009-07-14
BL0063,increment21,2009-07-15
BL0063,increment3,2009-06-27
BL0063,increment4,2009-06-28
BL0063,increment5,2009-06-29
BL0063,increment6,2009-06-30
BL0063,increment7,2009-07-01
BL0063,increment8,2009-07-02
BL0063,increment9,2009-07-03
BL0064,increment1,2009-06-25
BL0064,increment10,2009-07-04
BL0064,increment11,2009-07-05
BL0064,increment12,2009-07-06
BL0064,increment13,2009-07-07
BL0064,increment14,2009-07-08
BL0064,increment15,2009-07-09
BL0064,increment16,2009-07-10
BL0064,increment17,2009-07-11
BL0064,increment18,2009-07-12
BL0064,increment19,2009-07-13
BL0064,increment2,2009-06-26
BL0064,increment20,2009-07-14
BL0064,increment21,2009-07-15
BL0064,increment3,2009-06-27
BL0064,increment4,2009-06-28
BL0064,increment5,2009-06-29
