FISHID,Year,Month,SL_mm,WholeBodyWW_g,TOTAL_Liver_WW_g,Heatwave,logSL,logWeight,HSI,HSI_numeric,LWResiduals_All
BL0963,2012,8,76.7,5.206,0.0591,Before,4.339901708,1.649811807,1.135228582,1.135228582,0.181590737
BL2025,2018,7,85,5.729,0.0649,Between,4.442651256,1.745540995,1.132832955,1.132832955,-0.037617694
BL0925,2012,8,61.35,2.3687,0.0268,Before,4.116595171,0.862341281,1.131422299,1.131422299,0.078577034
BL0923,2012,8,73.77,4.1373,0.0468,Before,4.300952145,1.420043401,1.131172504,1.131172504,0.07120663
BL2316,2017,7,60,2.445,0.0276,Between,4.094344562,0.894045123,1.128834356,1.128834356,0.178481213
BL0032,2009,8,68,3.9128,0.0441,Before,4.219507705,1.36425323,1.127070129,1.127070129,0.265051795
BL2043,2018,7,56,1.6247,0.0182,Between,4.025351691,0.485323183,1.120206807,1.120206807,-0.01877069
BL2415,2012,8,78,5.19379,0.0583,Before,4.356708827,1.647463681,1.122494363,1.122494363,0.127727116
BL0959,2012,7,38.37,0.5616,0.0063,Before,3.647275904,-0.576965426,1.121794872,1.121794872,0.077780718
BL0191,2009,8,68,3.4115,0.0382,Before,4.219507705,1.227152077,1.119742049,1.119742049,0.127950642
BL0021,2009,8,70,3.7352,0.0414,Before,4.248495242,1.317801365,1.108374384,1.108374384,0.129750236
BL2172,2018,8,110,14.2979,0.1583,Between,4.700480366,2.660112673,1.107155596,1.107155596,0.086682032
BL0976,2012,7,39.18,0.5369,0.0059,Before,3.668166413,-0.621943422,1.098901099,1.098901099,-0.03122877
BL2295,2017,7,58,1.822,0.0198,Between,4.060443011,0.599934799,1.086717892,1.086717892,-0.011717472
BL2290,2017,7,71,4.1499,0.045,Between,4.262679877,1.423084238,1.084363479,1.084363479,0.191555787
BL0093,2009,8,62,2.6324,0.0285,Before,4.127134385,0.967895978,1.082662209,1.082662209,0.151827988
BL0938,2012,8,62.83,2.4814,0.0268,Before,4.140432666,0.908822917,1.080035464,1.080035464,0.051994368
BL2436,2012,8,58,2.0735,0.0222,Before,4.060443011,0.729238001,1.070653484,1.070653484,0.11758573
BL0114,2009,8,64,2.9151,0.0312,Before,4.158883083,1.069904125,1.070289184,1.070289184,0.156523206
BL2424,2012,8,54,1.48231,0.01579,Before,3.988984047,0.393601682,1.065229271,1.065229271,0.000978267
BL2267,2017,8,74,3.364,0.0358,Between,4.304065093,1.213130742,1.064209275,1.064209275,-0.145247526
BL2410,2008,8,87,6.6451,0.0707,Before,4.465908119,1.893879741,1.063941852,1.063941852,0.039436448
BL0946,2012,8,69.02,3.2998,0.0351,Before,4.234396318,1.193861861,1.06370083,1.06370083,0.049025343
BL2322,2017,7,65,2.835,0.0301,Between,4.17438727,1.042041937,1.061728395,1.061728395,0.08113914
BL2213,2018,8,77,4.554,0.0483,Between,4.343805422,1.516005968,1.060606061,1.060606061,0.035819626
BL2026,2018,7,82,5.7276,0.0603,Between,4.406719247,1.745296595,1.052796983,1.052796983,0.0722731
BL2031,2018,7,83,5.9426,0.0625,Between,4.418840608,1.782146748,1.0517282,1.0517282,0.071970073
BL2315,2017,7,63,2.712,0.0284,Between,4.143134726,0.99768637,1.04719764,1.04719764,0.132575737
BL0190,2009,8,70,3.5603,0.0373,Before,4.248495242,1.269844811,1.047664523,1.047664523,0.081793683
BL1007,2012,7,37.19,0.4396,0.0046,Before,3.616039908,-0.821890056,1.046405823,1.046405823,-0.071402466
BL0996,2012,7,39.44,0.6616,0.0069,Before,3.67478053,-0.413094135,1.042926239,1.042926239,0.157347587
BL0111,2009,8,69,3.8478,0.04,Before,4.234106505,1.347501556,1.03955507,1.03955507,0.203553344
BL0001,2009,8,77,4.1641,0.0432,Before,4.343805422,1.426500166,1.037439062,1.037439062,-0.053686176
BL0924,2012,8,63.86,2.7774,0.0288,Before,4.156693187,1.021515238,1.036941024,1.036941024,0.11484657
BL0920,2012,8,51.49,1.3649,0.0141,Before,3.941387614,0.311081166,1.033042714,1.033042714,0.064345567
BL0929,2012,8,69.54,3.7682,0.039,Before,4.241902127,1.326597434,1.034976912,1.034976912,0.158754862
BL2443,2012,7,38,0.58094,0.006,Before,3.63758616,-0.543107798,1.032808896,1.032808896,0.141338381
BL2003,2018,7,64,2.5353,0.0261,Between,4.158883083,0.930311973,1.029463969,1.029463969,0.016931055
BL2333,2016,7,64,2.664,0.0273,Heatwave,4.158883083,0.979828753,1.024774775,1.024774775,0.066447834
BL0102,2009,8,68,3.4119,0.0349,Before,4.219507705,1.227269321,1.022890472,1.022890472,0.128067886
BL2199,2018,8,64,2.5847,0.0264,Between,4.158883083,0.949609447,1.021395133,1.021395133,0.036228529
BL0956,2012,8,62.94,2.5383,0.0259,Before,4.142181892,0.931494566,1.020367963,1.020367963,0.069304467
BL2185,2018,8,65,2.8485,0.029,Between,4.17438727,1.04679254,1.018079691,1.018079691,0.085889742
BL0926,2012,8,69.57,3.2973,0.0335,Before,4.24233344,1.193103952,1.015982774,1.015982774,0.023939362
BL0084,2009,8,75,4.6804,0.0475,Before,4.317488114,1.543383576,1.014870524,1.014870524,0.143862411
BL0954,2012,8,67.52,3.3207,0.0337,Before,4.21242385,1.200175604,1.014846267,1.014846267,0.122686891
BL2292,2017,7,61,2.444,0.0247,Between,4.110873864,0.893636041,1.010638298,1.010638298,0.127408171
BL2027,2018,7,60,2.0577,0.0207,Between,4.094344562,0.721588854,1.005977548,1.005977548,0.006024944
BL2210,2018,8,92,7.8224,0.0784,Between,4.521788577,2.056991413,1.002249949,1.002249949,0.031268938
BL0198,2009,8,60,2.4986,0.025,Before,4.094344562,0.915730575,1.000560314,1.000560314,0.200166665
BL2220,2015,8,99,10.629,0.1058,Heatwave,4.59511985,2.363586115,0.995389971,0.995389971,0.113095969
BL2326,2017,7,64,3.017,0.03,Between,4.158883083,1.10426296,0.994365264,0.994365264,0.190882042
BL0943,2012,8,71.87,3.6905,0.0366,Before,4.274858931,1.30576195,0.991735537,0.991735537,0.036903483
BL2238,2016,7,62,2.5306,0.0249,Heatwave,4.127134385,0.928456429,0.983956374,0.983956374,0.112388439
BL0974,2012,7,43.67,0.831,0.0082,Before,3.776661367,-0.185125484,0.986762936,0.986762936,0.073041303
BL0935,2012,8,82.34,5.6842,0.0559,Before,4.410857016,1.737690396,0.983427747,0.983427747,0.051984226
