FISHID,Year,Month,SL_mm,WholeBodyWW_g,TOTAL_Liver_WW_g,Heatwave,logSL,logWeight,HSI,HSI_numeric,LWResiduals_All
BL0994,2012,7,35.15,0.3904,0.0027,Before,3.559624618,-0.940583424,0.691598361,0.691598361,-0.017177341
BL2024,2018,7,54,1.7206,0.0118,Between,3.988984047,0.542673067,0.685807277,0.685807277,0.150049653
BL0131,2009,8,77,4.7587,0.0324,Before,4.343805422,1.559974522,0.680858218,0.680858218,0.07978818
BL2163,2014,7,47,0.9717,0.0065,Heatwave,3.850147602,-0.028708164,0.66893074,0.66893074,0.004215981
BL0982,2012,7,33.4,0.3481,0.0023,Before,3.5085559,-1.055265484,0.660729675,0.660729675,0.024671318
BL2083,2013,7,53,1.3564,0.0091,Before,3.970291914,0.304834131,0.670893542,0.670893542,-0.03049603
BL2304,2016,7,54,1.437,0.0096,Heatwave,3.988984047,0.362557607,0.668058455,0.668058455,-0.030065808
BL0135,2009,8,76,4.7918,0.032,Before,4.33073334,1.566906124,0.667807504,0.667807504,0.126787017
BL2330,2017,7,47,1.204,0.008,Between,3.850147602,0.185649347,0.664451827,0.664451827,0.218573492
BL0123,2009,8,79,5.4417,0.0362,Before,4.369447852,1.694091512,0.665233291,0.665233291,0.135308562
BL0028,2009,8,71,3.8937,0.0259,Before,4.262679877,1.359359862,0.665177081,0.665177081,0.127831412
BL0975,2012,7,33.8,0.382,0.0025,Before,3.520460802,-0.96233467,0.654450262,0.654450262,0.081112417
BL0194,2009,8,77,5.3939,0.0357,Before,4.343805422,1.685268685,0.661858766,0.661858766,0.205082344
BL2257,2017,8,76,4.444,0.0293,Between,4.33073334,1.491554872,0.659315932,0.659315932,0.051435765
BL0197,2009,8,74,4.5083,0.0296,Before,4.304065093,1.505920142,0.656566777,0.656566777,0.147541874
BL0049,2009,8,52,1.3875,0.0091,Before,3.951243719,0.327503567,0.655855856,0.655855856,0.050558024
BL2204,2015,8,90,7.3084,0.0478,Heatwave,4.49980967,1.989024372,0.654041924,0.654041924,0.030669439
BL2287,2017,7,54,1.481,0.0097,Between,3.988984047,0.392717535,0.654962863,0.654962863,9.41E-05
BL2058,2013,7,54,1.3697,0.0089,Before,3.988984047,0.314591738,0.649777324,0.649777324,-0.078031677
BL0949,2012,8,66.48,2.9943,0.0195,Before,4.196901151,1.096710481,0.651237351,0.651237351,0.066800393
BL0010,2009,8,48,1.1427,0.0074,Before,3.871201011,0.133393883,0.647589043,0.647589043,0.101787228
BL2177,2018,8,105,13.0661,0.0845,Between,4.65396035,2.57002109,0.64671172,0.64671172,0.139178939
BL2276,2017,8,75,5.056,0.0326,Between,4.317488114,1.620575657,0.644778481,0.644778481,0.221054492
BL2429,2012,8,58,1.66438,0.01072,Before,4.060443011,0.509452682,0.644083683,0.644083683,-0.102199589
BL0066,2009,7,39,0.5301,0.0034,Before,3.663561646,-0.634689611,0.641388417,0.641388417,-0.029860891
BL0119,2009,8,69,3.4418,0.022,Before,4.234106505,1.23599459,0.639200418,0.639200418,0.092046378
BL2009,2018,7,85,6.3258,0.0402,Between,4.442651256,1.844636509,0.635492744,0.635492744,0.061477819
BL2282,2017,8,53,1.4264,0.0091,Between,3.970291914,0.355153788,0.637969714,0.637969714,0.019823626
BL2332,2017,7,62,2.71,0.0171,Between,4.127134385,0.996948635,0.63099631,0.63099631,0.180880645
BL2218,2015,8,93,9.233,0.0581,Heatwave,4.532599493,2.222784023,0.629264594,0.629264594,0.163925011
BL2438,2012,8,69,3.12921,0.01968,Before,4.234106505,1.140780577,0.628912729,0.628912729,-0.003167635
BL2075,2013,7,50,0.8237,0.0052,Before,3.912023005,-0.193948893,0.631297803,0.631297803,-0.350679036
BL0132,2009,8,63,2.485,0.0155,Before,4.143134726,0.91027266,0.623742455,0.623742455,0.045162027
BL0065,2009,7,45,0.9621,0.006,Before,3.80666249,-0.038636884,0.623635797,0.623635797,0.127573469
BL2187,2018,8,65,2.8792,0.0179,Between,4.17438727,1.057512478,0.621700472,0.621700472,0.09660968
BL0125,2009,8,63,2.6789,0.0166,Before,4.143134726,0.985406263,0.619657322,0.619657322,0.12029563
BL2107,2013,8,87,7.6188,0.0466,Before,4.465908119,2.030618877,0.611644878,0.611644878,0.176175584
BL0121,2009,8,59,2.1355,0.0129,Before,4.077537444,0.758700811,0.604073987,0.604073987,0.094652396
BL0087,2009,8,71,3.7645,0.0227,Before,4.262679877,1.32561505,0.603001727,0.603001727,0.0940866
BL2111,2013,8,85,6.3384,0.0381,Before,4.442651256,1.846626371,0.601098069,0.601098069,0.063467681
BL2035,2018,7,40,0.5715,0.0034,Between,3.688879454,-0.559490796,0.594925634,0.594925634,-0.032263684
BL2001,2018,7,71,3.8704,0.0232,Between,4.262679877,1.353357861,0.599421248,0.599421248,0.121829411
BL0089,2009,8,63,2.831,0.0169,Before,4.143134726,1.040630006,0.596962204,0.596962204,0.175519373
BL2072,2013,7,53,1.3721,0.0082,Before,3.970291914,0.316342413,0.59762408,0.59762408,-0.018987749
BL2197,2018,8,67,3.1684,0.0187,Between,4.204692619,1.153226729,0.590203257,0.590203257,0.09943501
BL2319,2017,7,60,2.226,0.0131,Between,4.094344562,0.800206253,0.588499551,0.588499551,0.084642343
BL2420,2012,8,92,7.91829,0.0464,Before,4.521788577,2.069175273,0.585985105,0.585985105,0.043452798
BL0068,2009,7,41,0.7705,0.0045,Before,3.713572067,-0.260715624,0.58403634,0.58403634,0.190826166
BL0992,2012,7,40.29,0.645,0.0038,Before,3.696103299,-0.438504962,0.589147287,0.589147287,0.066580344
BL0931,2012,8,65.84,2.796,0.0163,Before,4.187227556,1.028189824,0.58297568,0.58297568,0.027930267
BL2141,2014,7,56,1.6559,0.0096,Heatwave,4.025351691,0.504344668,0.579745154,0.579745154,0.000250794
BL2078,2013,7,44,0.7812,0.0045,Before,3.784189634,-0.24692408,0.576036866,0.576036866,-0.011832181
BL2093,2013,8,69,2.7607,0.0159,Before,4.234106505,1.015484271,0.575940885,0.575940885,-0.128463941
BL2300,2016,7,57,1.8775,0.0108,Heatwave,4.043051268,0.629941105,0.575233023,0.575233023,0.071596261
BL2105,2013,8,62,2.184,0.0124,Before,4.127134385,0.781158058,0.567765568,0.567765568,-0.034909932
BL0136,2009,8,72,4.1236,0.0234,Before,4.276666119,1.416726568,0.567465322,0.567465322,0.142328891
BL0056,2009,7,40,0.6874,0.0039,Before,3.688879454,-0.374838915,0.567355252,0.567355252,0.152388197
BL2118,2013,8,70,3.26,0.0185,Before,4.248495242,1.181727195,0.567484663,0.567484663,-0.006323933
BL0120,2009,8,70,3.6398,0.0206,Before,4.248495242,1.291928735,0.565965163,0.565965163,0.103877607
BL2015,2018,7,50,1.1251,0.0063,Between,3.912023005,0.117871921,0.559950227,0.559950227,-0.038858222
BL2226,2015,8,95,9.045,0.0507,Heatwave,4.553876892,2.202212119,0.56053068,0.56053068,0.078135757
BL0051,2009,8,52,1.394,0.0078,Before,3.951243719,0.332177312,0.55954089,0.55954089,0.055231769
BL2182,2018,8,70,3.5549,0.0198,Between,4.248495242,1.268326933,0.556977693,0.556977693,0.080275805
BL0022,2009,8,66,3.2406,0.018,Before,4.189654742,1.175758498,0.555452694,0.555452694,0.168059374
BL2049,2013,7,41,0.6868,0.0038,Before,3.713572067,-0.37571215,0.553290623,0.553290623,0.07582964
BL0128,2009,8,56,1.949,0.0108,Before,4.025351691,0.667316421,0.554130323,0.554130323,0.163222547
BL2260,2017,8,80,5.089,0.028,Between,4.382026635,1.627081348,0.550206327,0.550206327,0.029743174
BL2227,2015,8,85,5.699,0.0313,Heatwave,4.442651256,1.740290721,0.549219161,0.549219161,-0.042867969
BL0015,2009,8,68,3.2327,0.0176,Before,4.219507705,1.173317701,0.544436539,0.544436539,0.074116267
BL1005,2012,7,34.5,0.4386,0.0024,Before,3.540959324,-0.824167443,0.547195622,0.547195622,0.15644963
BL0202,2009,8,47,1.0937,0.0059,Before,3.850147602,0.089566443,0.539453232,0.539453232,0.122490588
BL2426,2012,8,58,2.06413,0.01112,Before,4.060443011,0.72470883,0.538725759,0.538725759,0.113056559
BL2100,2013,8,76,3.6736,0.0198,Before,4.33073334,1.301172108,0.538980836,0.538980836,-0.138946999
BL2174,2018,8,113,11.8967,0.0639,Between,4.727387819,2.476261051,0.53712374,0.53712374,-0.179643619
BL2312,2017,7,57,1.674,0.009,Between,4.043051268,0.515215972,0.537634409,0.537634409,-0.043128872
BL1003,2012,7,41.59,0.7655,0.0041,Before,3.727859754,-0.267226064,0.535597649,0.535597649,0.140522539
BL2040,2018,7,49,0.9309,0.0049,Between,3.891820298,-0.071603419,0.526372328,0.526372328,-0.166410248
BL2089,2013,8,67,2.9768,0.0158,Before,4.204692619,1.090848898,0.530771298,0.530771298,0.03705718
BL0991,2012,7,41.8,0.7541,0.004,Before,3.73289634,-0.282230294,0.530433629,0.530433629,0.110080671
BL2459,2012,7,35,0.3863,0.00203,Before,3.555348061,-0.951141009,0.525498317,0.525498317,-0.014626852
BL2303,2016,7,58,2.082,0.0109,Heatwave,4.060443011,0.73332897,0.523535062,0.523535062,0.121676699
BL2283,2017,8,52,1.1365,0.006,Between,3.951243719,0.127953364,0.527936648,0.527936648,-0.148992179
BL0533,2006,8,58,1.7221,0.009,Before,4.060443011,0.543544476,0.522617734,0.522617734,-0.068107795
BL2445,2012,7,55,2.01102,0.01038,Before,4.007333185,0.698642056,0.516155981,0.516155981,0.2497767
BL2281,2017,8,96,9.895,0.051,Between,4.564348191,2.292029579,0.515411824,0.515411824,0.135857638
BL2284,2017,8,83,5.925,0.0303,Between,4.418840608,1.779180687,0.511392405,0.511392405,0.069004012
BL0990,2012,7,36.52,0.4373,0.0022,Before,3.597860056,-0.827135821,0.503087126,0.503087126,-0.020925169
BL2200,2015,8,99,12.0643,0.0616,Heatwave,4.59511985,2.490250678,0.510597382,0.510597382,0.239760533
BL2440,2012,7,40,0.70926,0.00361,Before,3.688879454,-0.343533106,0.508981192,0.508981192,0.183694006
BL2308,2015,7,53,1.455,0.0074,Heatwave,3.970291914,0.375005901,0.508591065,0.508591065,0.039675739
BL2006,2018,7,86,6.8224,0.0346,Between,4.454347296,1.920211316,0.507152908,0.507152908,0.101203097
BL2143,2014,7,46,0.8545,0.0043,Heatwave,3.828641396,-0.157238776,0.503218256,0.503218256,-0.058395966
BL2456,2012,7,41,0.589,0.00298,Before,3.713572067,-0.529329095,0.505942275,0.505942275,-0.077787305
BL1013,2012,7,36.06,0.4495,0.0023,Before,3.585184218,-0.799619425,0.511679644,0.511679644,0.045443935
BL0050,2009,8,58,1.9197,0.0096,Before,4.060443011,0.652168924,0.500078137,0.500078137,0.040516653
BL2329,2017,7,45,0.914,0.0046,Between,3.80666249,-0.089924708,0.503282276,0.503282276,0.076285645
BL2068,2013,7,61,1.9713,0.0098,Before,4.110873864,0.678693224,0.497133871,0.497133871,-0.087534647
BL0200,2009,8,69,3.672,0.0182,Before,4.234106505,1.300736473,0.495642702,0.495642702,0.156788261
BL1006,2012,7,45.24,0.9674,0.0048,Before,3.811981651,-0.033143219,0.496175315,0.496175315,0.116763373
BL2103,2013,8,71,3.3855,0.0166,Before,4.262679877,1.219501606,0.490326392,0.490326392,-0.012026844
BL2074,2013,7,51,1.0754,0.0052,Before,3.931825633,0.072692685,0.483541008,0.483541008,-0.144734486
BL0913,2012,8,51.64,1.4156,0.0068,Before,3.944296566,0.347553469,0.480361684,0.480361684,0.091901643
BL2321,2017,7,59,1.978,0.0095,Between,4.077537444,0.682086233,0.480283114,0.480283114,0.018037818
BL0091,2009,8,62,1.5389,0.0074,Before,4.127134385,0.431067875,0.480862954,0.480862954,-0.385000114
BL1009,2012,7,38.87,0.5824,0.0028,Before,3.660222745,-0.540597782,0.480769231,0.480769231,0.074465004
BL0060,2009,7,43,0.7522,0.0036,Before,3.761200116,-0.284753033,0.478596118,0.478596118,0.020804034
BL2010,2018,7,62,2.5521,0.0122,Between,4.127134385,0.93691655,0.478037694,0.478037694,0.12084856
BL0143,2009,8,77,5.6387,0.0269,Before,4.343805422,1.729653542,0.477060315,0.477060315,0.249467201
BL0984,2012,7,39.59,0.738,0.0035,Before,3.678576561,-0.303811454,0.474254743,0.474254743,0.254995053
BL0090,2009,8,67,3.28,0.0155,Before,4.204692619,1.187843422,0.472560976,0.472560976,0.134051704
BL2054,2013,7,48,1.0588,0.005,Before,3.871201011,0.057136191,0.472232716,0.472232716,0.025529536
BL2433,2012,8,69,3.60316,0.0169,Before,4.234106505,1.281811238,0.469032738,0.469032738,0.137863026
BL0921,2012,8,55.53,1.687,0.0078,Before,4.016923415,0.522951804,0.462359218,0.462359218,0.044691435
BL2231,2014,8,101,10.907,0.0507,Heatwave,4.615120517,2.389404785,0.464839094,0.464839094,0.0776106
BL2020,2018,7,59,2.0578,0.0095,Between,4.077537444,0.721637451,0.461658081,0.461658081,0.057589036
BL0137,2009,8,68,3.4126,0.0158,Before,4.219507705,1.227474464,0.462990096,0.462990096,0.128273029
BL2110,2013,8,88,7.1072,0.0329,Before,4.477336814,1.961108355,0.462910851,0.462910851,0.071634968
BL0130,2009,8,73,4.1325,0.019,Before,4.290459441,1.418882551,0.459770115,0.459770115,0.102206964
BL0981,2012,7,33.67,0.3613,0.0017,Before,3.516607233,-1.018046641,0.470523111,0.470523111,0.037212021
BL1004,2012,7,38.77,0.5595,0.0026,Before,3.657646752,-0.580711751,0.464700626,0.464700626,0.042246711
BL0922,2012,8,65.37,2.9901,0.0136,Before,4.180063438,1.095306832,0.454834286,0.454834286,0.117006013
BL2268,2017,8,78,4.456,0.0203,Between,4.356708827,1.494251503,0.45556553,0.45556553,-0.025485062
BL2264,2017,8,77,4.599,0.0209,Between,4.343805422,1.525838889,0.454446619,0.454446619,0.045652547
BL2144,2014,7,60,2.1194,0.0096,Heatwave,4.094344562,0.75113303,0.452958384,0.452958384,0.03556912
BL0919,2012,8,62.64,2.3075,0.0104,Before,4.137404052,0.836164687,0.450704225,0.450704225,-0.011380855
BL0026,2009,8,57,2.1988,0.0099,Before,4.043051268,0.787911757,0.450245589,0.450245589,0.229566913
BL0277,2006,8,60,2.3203,0.0104,Before,4.094344562,0.841696488,0.448217903,0.448217903,0.126132577
BL2434,2012,8,65,3.9955,0.0178,Before,4.17438727,1.385168728,0.445501189,0.445501189,0.42426593
BL2178,2018,8,103,12.9459,0.0576,Between,4.634728988,2.560779136,0.44492851,0.44492851,0.188883029
BL2202,2015,8,79,4.834,0.0213,Heatwave,4.369447852,1.575674282,0.440628879,0.440628879,0.016891332
BL0072,2009,7,39,0.638,0.0028,Before,3.663561646,-0.449416996,0.438871473,0.438871473,0.155411724
BL2430,2012,8,84,7.23201,0.03147,Before,4.430816799,1.978517006,0.435148735,0.435148735,0.23163211
BL2461,2012,7,52,1.35128,0.00581,Before,3.951243719,0.301052291,0.429962702,0.429962702,0.024106748
BL0189,2009,8,59,2.0708,0.0089,Before,4.077537444,0.727935006,0.42978559,0.42978559,0.063886591
BL2198,2018,8,57,1.9111,0.0082,Between,4.043051268,0.647678993,0.429072262,0.429072262,0.089334149
BL0145,2009,8,74,4.9482,0.021,Before,4.304065093,1.599023874,0.42439675,0.42439675,0.240645606
BL2071,2013,7,47,0.7589,0.0032,Before,3.850147602,-0.275885263,0.421662933,0.421662933,-0.242961118
BL0985,2012,7,38.06,0.5079,0.0021,Before,3.639163862,-0.677470701,0.413467218,0.413467218,0.002139663
BL2269,2017,8,90,6.524,0.0271,Between,4.49980967,1.875487685,0.415389332,0.415389332,-0.082867248
BL0147,2009,8,80,6.0117,0.0249,Before,4.382026635,1.79370757,0.414192325,0.414192325,0.196369397
BL0133,2009,8,60,2.1359,0.0088,Before,4.094344562,0.758888104,0.412004307,0.412004307,0.043324193
BL2121,2013,8,78,5.0188,0.0206,Before,4.356708827,1.613190861,0.410456683,0.410456683,0.093454296
BL2018,2018,7,73,4.3255,0.0177,Between,4.290459441,1.464527741,0.409201248,0.409201248,0.147852154
BL2418,2012,8,61,2.20674,0.00899,Before,4.110873864,0.791516313,0.407388274,0.407388274,0.025288443
BL2209,2015,8,98,9.9421,0.0404,Heatwave,4.584967479,2.296778266,0.406352783,0.406352783,0.077406152
BL2341,2016,7,70,3.283,0.0133,Heatwave,4.248495242,1.188757639,0.405117271,0.405117271,0.00070651
BL2275,2017,8,100,9.6855,0.039,Between,4.605170186,2.270629922,0.402663776,0.402663776,-0.010665506
BL2428,2012,8,52,1.38432,0.00553,Before,3.951243719,0.325209044,0.39947411,0.39947411,0.048263501
BL0979,2012,7,45.72,0.8436,0.0034,Before,3.822535839,-0.17007683,0.403034614,0.403034614,-0.052519877
BL0012,2009,8,76,4.5477,0.0178,Before,4.33073334,1.514621611,0.391406645,0.391406645,0.074502504
BL2307,2015,7,48,1.004,0.0039,Heatwave,3.871201011,0.003992021,0.388446215,0.388446215,-0.027614634
BL0011,2009,8,54,1.6512,0.0063,Before,3.988984047,0.501502296,0.381540698,0.381540698,0.108878882
BL0989,2012,7,38.58,0.5533,0.0021,Before,3.652734007,-0.591854929,0.379540936,0.379540936,0.046161584
BL2462,2012,7,41,0.70391,0.00268,Before,3.713572067,-0.351104772,0.380730491,0.380730491,0.100437018
BL0008,2009,8,86,6.2877,0.0239,Before,4.454347296,1.838595344,0.380107193,0.380107193,0.019587125
BL0052,2009,8,73,4.2616,0.0161,Before,4.290459441,1.449644677,0.377792378,0.377792378,0.13296909
BL0053,2009,8,80,5.228,0.0195,Before,4.382026635,1.654028796,0.372991584,0.372991584,0.056690623
BL2228,2015,8,95,10.186,0.0379,Heatwave,4.553876892,2.321014228,0.372079325,0.372079325,0.196937867
BL0057,2009,7,45,0.8875,0.0033,Before,3.80666249,-0.119346758,0.371830986,0.371830986,0.046863595
BL2147,2014,7,55,1.6153,0.006,Heatwave,4.007333185,0.479520698,0.371448028,0.371448028,0.030655342
BL2152,2014,7,48,1.005,0.0037,Heatwave,3.871201011,0.004987542,0.368159204,0.368159204,-0.026619114
BL2052,2013,7,44,0.7498,0.0028,Before,3.784189634,-0.287948775,0.373432915,0.373432915,-0.052856876
BL0271,2006,8,64,2.494,0.0092,Before,4.158883083,0.913887847,0.368885325,0.368885325,0.000506929
BL0195,2009,8,59,2.4704,0.0091,Before,4.077537444,0.904380081,0.368361399,0.368361399,0.240331666
BL0252,2006,8,60,2.1019,0.0077,Before,4.094344562,0.742841698,0.366335221,0.366335221,0.027277787
BL2334,2016,7,60,2.084,0.0076,Heatwave,4.094344562,0.734289124,0.364683301,0.364683301,0.018725214
BL2263,2017,8,76,4.3542,0.0159,Between,4.33073334,1.471140897,0.365164669,0.365164669,0.03102179
BL0144,2009,8,78,4.8796,0.0177,Before,4.356708827,1.585063249,0.36273465,0.36273465,0.065326684
BL2422,2012,8,59,2.47617,0.00894,Before,4.077537444,0.906713012,0.361041447,0.361041447,0.242664596
BL0063,2009,7,40,0.6926,0.0025,Before,3.688879454,-0.367302647,0.360958706,0.360958706,0.159924465
BL2164,2014,7,53,1.3622,0.0049,Heatwave,3.970291914,0.30910104,0.35971223,0.35971223,-0.026229122
BL2123,2013,8,78,4.6737,0.0166,Before,4.356708827,1.541951049,0.35517898,0.35517898,0.022214484
BL2232,2016,7,70,3.044,0.0106,Heatwave,4.248495242,1.11317244,0.348226018,0.348226018,-0.074878688
BL2012,2018,7,44,0.822,0.0029,Between,3.784189634,-0.196014884,0.352798054,0.352798054,0.039077015
BL2013,2018,7,52,1.174,0.0041,Between,3.951243719,0.160416721,0.34923339,0.34923339,-0.116528821
BL0930,2012,8,65.69,2.7811,0.0094,Before,4.184946707,1.022846533,0.337995757,0.337995757,0.029578007
BL2338,2016,7,61,1.838,0.0062,Heatwave,4.110873864,0.608678024,0.337323177,0.337323177,-0.157549846
BL0070,2009,7,41,0.7399,0.0025,Before,3.713572067,-0.301240237,0.337883498,0.337883498,0.150301553
BL0251,2006,8,69,2.8196,0.0095,Before,4.234106505,1.036595031,0.336927224,0.336927224,-0.107353181
BL2140,2014,7,55,1.486,0.0049,Heatwave,4.007333185,0.396087946,0.32974428,0.32974428,-0.05277741
BL2130,2014,7,57,1.9004,0.0063,Heatwave,4.043051268,0.64206439,0.331509156,0.331509156,0.083719547
BL0076,2009,7,39,0.6686,0.0022,Before,3.663561646,-0.402569305,0.329045767,0.329045767,0.202259415
BL2126,2015,7,45,0.8028,0.0026,Heatwave,3.80666249,-0.219649662,0.323866467,0.323866467,-0.053439309
BL0075,2009,7,45,0.943,0.0031,Before,3.80666249,-0.058688996,0.32873807,0.32873807,0.107521356
BL2331,2017,7,58,1.979,0.0065,Between,4.060443011,0.682591667,0.328448711,0.328448711,0.070939396
BL2113,2013,8,66,2.7282,0.0088,Before,4.189654742,1.003642051,0.322556997,0.322556997,-0.004057072
BL2261,2017,8,83,5.5568,0.0179,Between,4.418840608,1.715022403,0.322127843,0.322127843,0.004845728
BL0142,2009,8,62,2.6037,0.0084,Before,4.127134385,0.95693351,0.322617813,0.322617813,0.140865521
BL2122,2013,8,87,6.9203,0.0223,Before,4.465908119,1.934459121,0.322240365,0.322240365,0.080015828
BL2274,2017,8,88,6.5657,0.0211,Between,4.477336814,1.881859128,0.321367105,0.321367105,-0.007614258
BL2063,2013,7,54,1.2271,0.0039,Before,3.988984047,0.204653662,0.317822508,0.317822508,-0.187969753
BL0054,2009,7,43,0.7838,0.0025,Before,3.761200116,-0.243601393,0.318958918,0.318958918,0.061955673
BL0911,2012,8,64.87,3.0282,0.0092,Before,4.172385267,1.107968384,0.303810845,0.303810845,0.153201924
BL2168,2014,7,40,0.675,0.002,Heatwave,3.688879454,-0.393042588,0.296296296,0.296296296,0.134184524
BL2194,2018,8,74,3.8704,0.0116,Between,4.304065093,1.353357861,0.299710624,0.299710624,-0.005020407
BL2344,2016,7,62,2.302,0.0069,Heatwave,4.127134385,0.83377831,0.299739357,0.299739357,0.017710321
BL0912,2012,8,57.22,1.8535,0.0055,Before,4.046903488,0.617075744,0.296735905,0.296735905,0.046923462
BL0016,2009,8,66,3.3997,0.0101,Before,4.189654742,1.223687192,0.297085037,0.297085037,0.215988069
BL2129,2015,7,41,0.6125,0.0018,Heatwave,3.713572067,-0.490206337,0.293877551,0.293877551,-0.038664547
BL0280,2006,8,63,2.4193,0.0071,Before,4.143134726,0.883478242,0.293473319,0.293473319,0.018367609
BL2114,2013,8,88,7.3518,0.0215,Before,4.477336814,1.994945181,0.292445388,0.292445388,0.105471795
BL2053,2013,7,50,1.3037,0.0038,Before,3.912023005,0.265206376,0.291478101,0.291478101,0.108476233
BL2154,2014,7,52,1.3521,0.0039,Heatwave,3.951243719,0.301658939,0.288440204,0.288440204,0.024713396
BL2343,2016,7,56,1.612,0.0046,Heatwave,4.025351691,0.477475644,0.285359801,0.285359801,-0.02661823
BL0124,2009,8,61,2.2751,0.0065,Before,4.110873864,0.822024007,0.285701727,0.285701727,0.055796137
BL0986,2012,7,39.79,0.5631,0.0016,Before,3.683615624,-0.574298047,0.28414136,0.28414136,-0.030936772
BL0138,2009,8,52,1.554,0.0043,Before,3.951243719,0.440832252,0.276705277,0.276705277,0.163886709
BL0207,2009,8,46,0.8034,0.0022,Before,3.828641396,-0.218902557,0.273836196,0.273836196,-0.120059747
BL0998,2012,7,33.47,0.379,0.001,Before,3.510649515,-0.970219074,0.263852243,0.263852243,0.103300588
BL2208,2015,8,80,5.5916,0.015,Heatwave,4.382026635,1.721265472,0.268259532,0.268259532,0.123927298
BL2145,2014,7,55,1.3428,0.0036,Heatwave,4.007333185,0.294756986,0.268096515,0.268096515,-0.15410837
BL0393,2006,8,67,3.0062,0.008,Before,4.204692619,1.100676823,0.266116692,0.266116692,0.046885104
BL0987,2012,7,39.09,0.639,0.0017,Before,3.66586668,-0.447850825,0.266040689,0.266040689,0.149912737
BL2437,2012,8,59,2.34719,0.00606,Before,4.077537444,0.853218868,0.258181059,0.258181059,0.189170453
BL2160,2014,7,45,0.7884,0.002,Heatwave,3.80666249,-0.237749704,0.253678336,0.253678336,-0.071539351
BL0055,2009,7,42,1.0057,0.0025,Before,3.737669618,0.005683816,0.248583076,0.248583076,0.383364206
BL0071,2009,7,41,0.684,0.0017,Before,3.713572067,-0.379797361,0.248538012,0.248538012,0.071744429
BL0203,2009,8,45,1.0478,0.0026,Before,3.80666249,0.046692728,0.248138958,0.248138958,0.212903081
BL0253,2006,8,57,1.9447,0.0048,Before,4.043051268,0.665107724,0.246824703,0.246824703,0.10676288
BL2060,2013,7,51,0.9474,0.0023,Before,3.931825633,-0.054033888,0.242769685,0.242769685,-0.27146106
BL2106,2013,8,82,5.9524,0.0143,Before,4.406719247,1.7837945,0.240239231,0.240239231,0.110771004
BL0828,2010,7,42,0.3808,9.00E-04,Before,3.737669618,-0.965480976,0.236344538,0.236344538,-0.587800587
BL2179,2018,8,108,12.9072,0.0305,Between,4.682131227,2.557785295,0.236302219,0.236302219,0.040596595
BL0270,2006,8,64,2.7994,0.0066,Before,4.158883083,1.029405109,0.235764807,0.235764807,0.11602419
BL2425,2012,8,54,1.48035,0.00347,Before,3.988984047,0.392278546,0.234404026,0.234404026,-0.000344868
BL2117,2013,8,63,2.4082,0.0056,Before,4.143134726,0.87887958,0.232538826,0.232538826,0.013768948
BL2092,2013,8,55,1.6729,0.0039,Before,4.007333185,0.514558647,0.233128101,0.233128101,0.065693291
BL0242,2009,7,41,0.7325,0.0017,Before,3.713572067,-0.311291938,0.232081911,0.232081911,0.140249852
BL2279,2017,8,92,6.908,0.0159,Between,4.521788577,1.93268016,0.230167921,0.230167921,-0.093042315
BL2458,2012,7,40,0.54667,0.00125,Before,3.688879454,-0.603909949,0.228657142,0.228657142,-0.076682837
BL0098,2009,8,63,2.6724,0.0061,Before,4.143134726,0.982976945,0.228259243,0.228259243,0.117866312
BL2120,2013,8,76,4.4008,0.01,Before,4.33073334,1.481786343,0.227231412,0.227231412,0.041667236
BL0276,2006,8,92,8.411,0.019,Before,4.521788577,2.129540373,0.225894662,0.225894662,0.103817898
BL2435,2012,8,66,3.00482,0.00671,Before,4.189654742,1.100217666,0.223307885,0.223307885,0.092518543
BL2256,2017,8,92,6.839,0.0152,Between,4.521788577,1.922641522,0.222254716,0.222254716,-0.103080953
BL2055,2013,7,46,1.0763,0.0024,Before,3.828641396,0.073529233,0.222986156,0.222986156,0.172372043
BL0778,2010,7,53,1.6295,0.0036,Before,3.970291914,0.488273219,0.220926665,0.220926665,0.152943058
BL0064,2009,7,40,0.6869,0.0015,Before,3.688879454,-0.375566558,0.218372398,0.218372398,0.151660554
BL2081,2013,7,52,1.3802,0.0029,Before,3.951243719,0.322228416,0.210114476,0.210114476,0.045282873
BL2277,2017,8,96,8.9207,0.0187,Between,4.564348191,2.188374419,0.209624805,0.209624805,0.032202478
BL0874,2010,7,49,1.294,0.0027,Before,3.891820298,0.257738196,0.208655332,0.208655332,0.162931367
BL0062,2009,7,42,0.8157,0.0017,Before,3.737669618,-0.203708639,0.208409955,0.208409955,0.173971751
BL0505,2006,8,59,1.9247,0.004,Before,4.077537444,0.654770111,0.207824596,0.207824596,-0.009278304
BL2446,2012,7,46,1.00923,0.00209,Before,3.828641396,0.009187664,0.207088572,0.207088572,0.108030474
BL0077,2009,7,41,0.7729,0.0016,Before,3.713572067,-0.257605605,0.20701255,0.20701255,0.193936185
BL2133,2014,7,55,1.7064,0.0034,Heatwave,4.007333185,0.534385888,0.199249883,0.199249883,0.085520532
BL0041,2009,8,74,3.7962,0.0075,Before,4.304065093,1.334000566,0.197565987,0.197565987,-0.024377702
BL0820,2010,7,50,1.5787,0.0031,Before,3.912023005,0.456601724,0.196364097,0.196364097,0.299871581
BL2414,2012,8,69,3.36854,0.00656,Before,4.234106505,1.214479416,0.194743123,0.194743123,0.070531204
