FISHID,Year,Month,SL_mm,TL_mm,WholeBodyWW_g,TOTAL_Liver_WW_g
BL0759,2007,7,42,46,0.425,0.0002
BL0426,2006,8,61,67,2.3512,0.0011
BL0812,2010,7,48,53,1.2826,0.0006
BL0719,2007,8,57,62,1.0693,0.0005
BL0659,2008,8,79,86,2.7828,0.0013
BL0813,2010,7,48,53,1.2904,0.0006
BL0763,2007,7,40,44,0.4302,0.0002
BL0776,2010,7,52,57,1.5068,0.0007
BL0764,2007,7,40,44,0.4351,0.0002
BL0513,2006,8,61,66,2.1761,0.001
BL0336,2006,8,82,88,5.8855,0.0027
BL0386,2006,8,60,65,2.1809,0.001
BL0869,2010,7,44,48,0.8728,0.0004
BL0417,2006,8,58,64,1.9731,0.0009
BL0571,2008,8,65,71,1.7569,0.0008
BL0248,2009,7,39,42,0.6628,0.0003
BL0583,2008,8,62,66,1.3371,0.0006
BL0686,2008,8,66,72,1.7904,0.0008
BL0683,2008,8,71,76,1.8023,0.0008
BL0459,2006,8,67,74,3.1607,0.0014
BL0608,2008,8,80,86,3.1658,0.0014
BL0407,2006,8,56,61,1.8093,0.0008
BL0463,2006,8,75,82,4.9758,0.0022
BL0490,2006,8,59,64,2.0483,0.0009
BL0392,2006,8,61,66,2.2792,0.001
BL0628,2008,8,73,80,2.0534,0.0009
BL0570,2008,8,59,64,1.3711,0.0006
BL0677,2008,8,59,64,1.3716,0.0006
BL0796,2010,7,47,52,1.3748,0.0006
BL0809,2010,7,48,52,1.1467,0.0005
BL0446,2006,8,74,80,4.3805,0.0019
BL0682,2008,8,60,65,1.154,0.0005
BL0527,2006,8,68,75,3.0184,0.0013
BL0705,2008,8,71,78,2.0901,0.0009
BL0474,2006,8,84,91,7.6643,0.0033
BL0465,2006,8,69,75,3.4979,0.0015
BL0404,2006,8,59,64,2.3354,0.001
BL0210,2009,7,43,47,0.7044,0.0003
BL0525,2006,8,62,68,2.3614,0.001
BL0385,2006,8,70,76,4.0181,0.0017
BL0707,2007,8,68,74,1.8912,0.0008
BL0602,2008,8,76,83,2.8506,0.0012
BL0617,2008,8,67,73,1.9041,0.0008
BL0529,2006,8,62,68,2.144,0.0009
BL0454,2006,8,90,98,8.3723,0.0035
BL0630,2008,8,71,78,2.3951,0.001
BL0674,2008,8,58,63,1.2013,0.0005
BL0832,2010,7,48,53,1.2032,0.0005
BL0558,2008,8,57,62,1.6847,0.0007
BL0205,2009,8,40,44,0.4865,0.0002
BL0551,2008,8,65,70,1.7033,0.0007
BL0737,2007,8,55,60,0.9757,0.0004
BL0815,2010,7,43,47,0.9785,0.0004
BL0735,2007,8,53,58,0.7366,0.0003
BL0717,2007,8,50,55,0.7381,0.0003
BL0456,2006,8,77,84,4.936,0.002
BL0373,2006,8,62,67,2.4696,0.001
BL0599,2008,8,76,82,2.7194,0.0011
BL0573,2008,8,63,68,1.4843,0.0006
BL0559,2008,8,61,66,1.4852,0.0006
BL0563,2008,8,57,63,1.2379,0.0005
BL0713,2007,8,58,62,1.2452,0.0005
BL0756,2007,7,43,447,0.4991,0.0002
BL0554,2008,8,67,73,1.7521,0.0007
BL0619,2008,8,77,84,3.0121,0.0012
BL0585,2008,8,48,52,0.7544,0.0003
BL0487,2006,8,59,64,2.2693,0.0009
BL0853,2010,7,41,45,0.7577,0.0003
BL0519,2006,8,64,70,2.5286,0.001
BL0362,2006,8,92,100,9.6184,0.0038
BL0579,2008,8,61,66,1.2656,0.0005
BL0613,2008,8,75,80,2.7851,0.0011
BL0615,2008,8,79,86,3.3034,0.0013
BL0444,2006,8,46,50,1.0174,0.0004
BL0359,2006,8,74,79,4.5856,0.0018
BL0339,2006,8,89,96,7.668,0.003
BL0596,2008,8,86,94,4.6017,0.0018
BL0552,2008,8,61,66,1.7938,0.0007
BL0637,2008,8,78,85,4.1012,0.0016
BL0476,2006,8,58,64,2.0603,0.0008
BL0524,2006,8,59,64,2.0613,0.0008
BL0758,2007,7,44,48,0.5157,0.0002
BL0562,2008,8,65,70,1.5523,0.0006
BL0622,2008,8,69,75,1.8141,0.0007
BL0808,2010,7,42,NA,0.7859,0.0003
BL0378,2006,8,67,72,2.8837,0.0011
BL0858,2010,7,41,45,0.7874,0.0003
BL0342,2006,8,93,100,10.0285,0.0038
BL0794,2010,7,48,52,1.3235,0.0005
BL0745,2007,7,49,53,0.7952,0.0003
BL0370,2006,8,69,76,3.7185,0.0014
BL0294,2006,8,77,84,5.048,0.0019
BL0770,2007,7,42,46,0.5319,0.0002
BL0914,2012,8,57.34,62.75,1.8068,0.0007
BL0811,2010,7,48,53,1.3448,0.0005
BL0803,2010,7,42,46,0.8071,0.0003
BL0365,2006,8,72,78,3.7854,0.0014
BL0788,2010,7,46,51,1.0827,0.0004
BL0681,2008,8,55,60,1.0865,0.0004
BL0800,2010,7,58,63,1.9036,0.0007
BL0241,2009,7,41,45,0.8165,0.0003
BL0854,2010,7,41,45,0.8203,0.0003
BL0383,2006,8,67,73,3.2826,0.0012
BL0782,2010,7,49,54,1.3688,0.0005
BL0658,2008,8,81,88,3.5603,0.0013
BL0267,2006,8,66,71,3.2874,0.0012
BL0799,2010,7,44,45,1.0962,0.0004
BL0600,2008,8,68,74,1.6447,0.0006
BL0497,2006,8,89,96,7.136,0.0026
BL0634,2008,8,72,85,3.0428,0.0011
BL0483,2006,8,57,62,2.2176,0.0008
BL0503,2006,8,65,71,2.7812,0.001
BL0469,2006,8,62,68,2.2251,0.0008
BL0311,2006,8,92,100,7.8025,0.0028
BL0727,2007,8,58,63,1.1164,0.0004
BL0319,2006,8,72,78,3.9139,0.0014
BL0807,2010,7,47,52,1.1193,0.0004
BL0526,2006,8,54,60,1.6803,0.0006
BL0382,2006,8,58,63,1.9634,0.0007
BL0535,2006,8,68,74,3.0877,0.0011
BL0744,2007,8,45,50,0.5641,0.0002
BL0769,2007,7,45,49,0.5643,0.0002
BL2280,2017,8,77,84,4.3565,0.0015
BL0376,2006,8,62,68,2.5524,0.0009
BL0424,2006,8,75,82,4.2609,0.0015
BL0352,2006,8,75,82,4.5807,0.0016
BL0355,2006,8,66,72,2.865,0.001
BL0486,2006,8,69,76,3.7414,0.0013
BL0266,2006,8,70,77,3.7699,0.0013
BL0738,2007,8,52,58,0.8709,0.0003
BL0432,2006,8,50,55,1.1642,0.0004
BL0425,2006,8,53,58,1.4565,0.0005
BL0740,2007,8,46,51,0.5828,0.0002
BL0298,2006,8,81,89,5.2766,0.0018
BL0303,2006,8,84,91,5.5907,0.0019
BL0879,2010,7,50,55,1.4723,0.0005
BL0845,2010,7,44,48,0.8865,0.0003
BL0754,2007,7,45,50,0.5917,0.0002
BL0864,2010,7,49,54,1.1858,0.0004
BL0611,2008,8,73,80,2.6709,0.0009
BL0798,2010,7,45,50,1.1989,0.0004
BL0368,2006,8,66,71,3.0039,0.001
BL0515,2006,8,58,64,2.1045,0.0007
BL0620,2008,8,65,71,1.8084,0.0006
BL0817,2010,7,50,54,1.5072,0.0005
BL0310,2006,8,98,106,9.9674,0.0033
BL0777,2010,7,52,57,1.524,0.0005
BL0464,2006,8,77,85,4.5845,0.0015
BL0467,2006,8,60,66,2.1548,0.0007
BL0217,2009,7,35,38,0.3087,0.0001
BL0472,2006,8,58,63,2.1623,0.0007
BL0592,2008,8,77,83,2.7894,0.0009
BL0743,2007,8,52,57,0.9306,0.0003
BL0601,2008,8,72,78,2.1751,0.0007
BL0387,2006,8,62,68,2.1911,0.0007
BL0574,2008,8,60,65,1.2531,0.0004
BL0790,2010,7,43,48,0.94,0.0003
BL0457,2006,8,62,68,2.8329,0.0009
BL0591,2008,8,70,76,2.2051,0.0007
BL0437,2006,8,59,64,2.2136,0.0007
BL0678,2008,8,54,59,0.9502,0.0003
BL0523,2006,8,57,63,1.9028,0.0006
BL0351,2006,8,69,75,3.5235,0.0011
BL0733,2007,8,53,58,0.9639,0.0003
BL0531,2006,8,66,72,2.8952,0.0009
BL0428,2006,8,59,65,2.2655,0.0007
BL0528,2006,8,58,64,1.945,0.0006
BL0716,2007,8,48,53,0.6519,0.0002
BL0747,2007,7,48,52,0.6535,0.0002
BL0534,2006,8,60,66,2.3076,0.0007
BL0766,2007,7,47,51,0.6612,0.0002
BL0367,2006,8,65,70,2.9768,0.0009
BL0605,2008,8,77,84,2.9816,0.0009
BL0331,2006,8,67,74,3.3143,0.001
BL0448,2006,8,64,70,2.6685,0.0008
BL0732,2007,8,50,55,0.6678,0.0002
BL0285,2006,8,61,66,2.3375,0.0007
BL0453,2006,8,64,70,2.6731,0.0008
BL0804,2010,7,40,44,0.6694,0.0002
BL0695,2008,8,60,65,1.3412,0.0004
BL0580,2008,8,61,66,1.3454,0.0004
BL0449,2006,8,72,79,3.7045,0.0011
BL0734,2007,8,49,53,0.6756,0.0002
BL0793,2010,7,48,52,1.3662,0.0004
BL0439,2006,8,62,68,2.7329,0.0008
BL0289,2006,8,63,69,2.7428,0.0008
BL0550,2008,8,60,65,1.3757,0.0004
BL0379,2006,8,67,73,2.7546,0.0008
BL0612,2008,8,70,77,2.0705,0.0006
BL0441,2006,8,55,60,1.7297,0.0005
BL0494,2006,8,68,72,3.4824,0.001
BL0496,2006,8,72,79,3.4919,0.001
BL0442,2006,8,58,64,2.0982,0.0006
BL0371,2006,8,73,80,3.8553,0.0011
BL0354,2006,8,62,68,2.4636,0.0007
BL0473,2006,8,61,66,2.4749,0.0007
BL0640,2008,8,76,84,3.1832,0.0009
BL0471,2006,8,61,72,3.1849,0.0009
BL0863,2010,7,32,36,0.355,0.0001
BL0726,2007,8,49,51,0.713,0.0002
BL0687,2008,8,68,73,1.0743,0.0003
BL0364,2006,8,70,75,3.9929,0.0011
BL0240,2009,7,47,51,1.0917,0.0003
BL0353,2006,8,63,69,2.5515,0.0007
BL0394,2006,8,63,69,2.1872,0.0006
BL0434,2006,8,59,65,2.1875,0.0006
BL0589,2008,8,82,89,3.6482,0.001
BL0381,2006,8,73,80,4.3791,0.0012
BL0555,2008,8,60,65,1.4622,0.0004
BL0400,2006,8,63,69,2.5612,0.0007
BL0787,2010,7,50,55,1.4643,0.0004
BL0568,2008,8,55,60,1.099,0.0003
BL0488,2006,8,60,65,2.2092,0.0006
BL0409,2006,8,65,72,2.59,0.0007
BL0460,2006,8,63,68,2.5978,0.0007
BL0440,2006,8,68,74,3.3891,0.0009
BL0499,2006,8,77,84,4.1551,0.0011
BL0557,2008,8,56,61,1.1379,0.0003
BL0415,2006,8,58,63,1.9115,0.0005
BL0504,2006,8,76,83,4.6023,0.0012
BL0606,2008,8,78,83,2.3107,0.0006
BL0516,2006,8,61,67,2.3115,0.0006
BL0675,2008,8,58,62,1.1646,0.0003
BL0566,2008,8,63,58,1.1743,0.0003
BL0870,2010,7,42,46,0.7912,0.0002
BL0660,2008,8,75,83,2.3984,0.0006
BL0313,2006,8,76,82,3.9986,0.001
BL0491,2006,8,73,80,4.0075,0.001
BL0212,2009,7,35,NA,0.4014,0.0001
BL0462,2006,8,68,74,3.6277,0.0009
BL0360,2006,8,89,96,9.2892,0.0023
BL0479,2006,8,61,66,2.4249,0.0006
BL0651,2008,8,64,70,1.6214,0.0004
BL0556,2008,8,61,66,1.6251,0.0004
BL0786,2010,7,48,53,1.2205,0.0003
BL0349,2006,8,79,85,5.2988,0.0013
BL0337,2006,8,83,90,6.5467,0.0016
BL0338,2006,8,84,90,6.5479,0.0016
BL0576,2008,8,51,56,0.8195,0.0002
BL0665,2008,8,71,76,2.888,0.0007
BL0408,2006,8,70,76,2.9192,0.0007
BL0484,2006,8,56,61,1.6763,0.0004
BL0410,2006,8,63,68,2.5165,0.0006
BL0344,2006,8,93,100,8.9492,0.0021
BL0402,2006,8,63,69,2.5593,0.0006
BL0680,2008,8,60,65,1.2814,0.0003
BL0288,2006,8,63,69,2.5675,0.0006
BL0507,2006,8,65,71,2.5688,0.0006
BL0435,2006,8,62,68,2.5788,0.0006
BL0587,2008,8,54,58,0.8642,0.0002
BL0767,2007,7,40,44,0.4341,0.0001
BL0482,2006,8,64,70,2.6096,0.0006
BL0348,2006,8,82,88,6.0924,0.0014
BL0774,2007,7,41,45,0.4361,0.0001
BL0334,2006,8,58,64,1.7507,0.0004
BL0761,2007,7,44,48,0.4403,0.0001
BL0427,2006,8,57,62,1.7675,0.0004
BL0315,2006,8,71,77,3.5545,0.0008
BL0868,2010,7,43,47,0.8937,0.0002
BL0765,2007,7,41,45,0.4488,0.0001
BL0578,2008,8,54,59,0.9021,0.0002
BL0520,2006,8,64,70,2.7166,0.0006
BL0819,2010,7,50,55,1.3586,0.0003
BL0485,2006,8,61,68,2.2771,0.0005
BL0406,2006,8,66,71,2.7352,0.0006
BL0760,2007,7,41,44,0.4597,0.0001
BL0780,2010,7,50,55,1.3793,0.0003
BL0249,2009,7,36,39,0.4628,0.0001
BL0346,2006,8,72,78,4.1675,0.0009
BL0775,2007,7,43,47,0.4699,0.0001
BL0328,2006,8,63,69,2.8266,0.0006
BL0696,2008,8,56,61,0.9438,0.0002
BL0532,2006,8,76,83,4.726,0.001
BL0372,2006,8,88,95,7.5814,0.0016
BL0335,2006,8,71,77,3.8172,0.0008
BL0689,2008,8,61,67,1.4406,0.0003
BL0401,2006,8,61,67,2.4025,0.0005
BL0492,2006,8,72,79,3.8448,0.0008
BL0445,2006,8,55,60,1.9245,0.0004
BL0561,2008,8,52,58,0.9637,0.0002
BL0389,2006,8,62,68,2.4211,0.0005
BL0420,2006,8,63,69,2.4275,0.0005
BL0468,2006,8,62,68,2.4416,0.0005
BL0282,2006,8,68,74,2.9604,0.0006
BL0312,2006,8,73,79,3.9633,0.0008
BL0466,2006,8,77,85,5.4729,0.0011
BL0510,2006,8,73,81,4.0019,0.0008
BL0627,2008,8,81,86,3.0267,0.0006
BL0324,2006,8,99,107,12.1924,0.0024
BL0581,2008,8,58,63,1.0222,0.0002
BL0356,2006,8,62,68,2.5576,0.0005
BL0500,2006,8,86,94,6.1458,0.0012
BL0768,2007,7,45,49,0.514,0.0001
BL0250,2009,7,36,39,0.5178,0.0001
BL0577,2008,8,54,58,1.0548,0.0002
BL0797,2010,7,45,50,1.0604,0.0002
BL0501,2006,8,67,73,3.1932,0.0006
BL0477,2006,8,57,63,2.1351,0.0004
BL0569,2008,8,54,59,1.0705,0.0002
BL0293,2006,8,96,105,8.6291,0.0016
BL0511,2006,8,65,70,2.7203,0.0005
BL0216,2009,7,40,NA,0.5445,0.0001
BL0565,2008,8,62,67,1.6341,0.0003
BL0297,2006,8,86,94,7.6404,0.0014
BL0749,2007,7,45,48,0.5548,0.0001
BL0443,2006,8,55,60,1.6721,0.0003
BL0757,2007,7,46,51,0.5625,0.0001
BL0741,2007,8,46,51,0.5651,0.0001
BL0275,2006,8,82,89,5.699,0.001
BL0518,2006,8,66,72,2.8501,0.0005
BL0299,2006,8,66,71,2.8602,0.0005
BL0347,2006,8,69,75,3.4468,0.0006
BL0772,2007,7,44,48,0.5762,0.0001
BL0478,2006,8,55,60,1.7339,0.0003
BL0325,2006,8,83,90,6.3812,0.0011
BL0451,2006,8,62,69,2.3222,0.0004
BL0502,2006,8,66,71,2.9063,0.0005
BL0508,2006,8,66,73,2.9184,0.0005
BL0792,2010,7,45,50,1.1754,0.0002
BL0746,2007,7,46,50,0.5911,0.0001
BL0421,2006,8,56,61,1.7735,0.0003
BL0495,2006,8,70,76,3.5497,0.0006
BL0314,2006,8,68,73,2.9661,0.0005
BL0358,2006,8,79,86,4.7591,0.0008
BL0396,2006,8,66,72,2.984,0.0005
BL0560,2008,8,45,49,0.5973,0.0001
BL0771,2007,7,48,53,0.5973,0.0001
BL0320,2006,8,65,70,3.0005,0.0005
BL0621,2008,8,68,73,1.8126,0.0003
BL0419,2006,8,57,62,1.8514,0.0003
BL0357,2006,8,73,79,4.3432,0.0007
BL0374,2006,8,66,72,3.1383,0.0005
BL0742,2007,8,49,54,0.6286,0.0001
BL0509,2006,8,64,70,2.5984,0.0004
BL0697,2008,8,63,69,1.3158,0.0002
BL0498,2006,8,73,79,3.9829,0.0006
BL0530,2006,8,60,66,2.0164,0.0003
BL0422,2006,8,53,58,1.3455,0.0002
BL0350,2006,8,64,70,2.6942,0.0004
BL0375,2006,8,87,95,7.4837,0.0011
BL0316,2006,8,68,74,3.4039,0.0005
BL0306,2006,8,71,76,2.7732,0.0004
BL0517,2006,8,66,72,2.7785,0.0004
BL0698,2008,8,60,65,1.3971,0.0002
BL0564,2008,8,59,64,1.4213,0.0002
BL0390,2006,8,62,67,2.1388,0.0003
BL0418,2006,8,59,65,2.1407,0.0003
BL0624,2008,8,51,56,0.7192,0.0001
BL0690,2008,8,51,55,0.7324,0.0001
BL0292,2006,8,71,77,3.7148,0.0005
BL0604,2008,8,70,76,2.2332,0.0003
BL0412,2006,8,63,68,2.2471,0.0003
BL0343,2006,8,89,96,8.3639,0.0011
BL0305,2006,8,75,82,3.8473,0.0005
BL0416,2006,8,62,67,2.3167,0.0003
BL0300,2006,8,74,80,3.9609,0.0005
BL0493,2006,8,102,112,11.9681,0.0015
BL0287,2006,8,61,67,2.4045,0.0003
BL0691,2008,8,63,69,1.6473,0.0002
BL0481,2006,8,62,68,2.488,0.0003
BL0693,2008,8,54,60,0.8372,0.0001
BL0699,2008,8,46,50,0.845,0.0001
BL0584,2008,8,52,56,0.8546,0.0001
BL0748,2007,7,44,49,0.5142,0.0001
BL0700,2008,8,53,58,0.9067,0.0001
BL0694,2008,8,46,50,0.57,0.0001
BL0567,2008,8,53,58,0.9664,0.0001
BL0405,2006,8,58,63,1.9644,0.0002
BL0512,2006,8,59,64,1.9785,0.0002
BL0332,2006,8,59,NA,2.0062,0.0002
BL0284,2006,8,73,80,4.0163,0.0004
BL0762,2007,7,41,45,0.4041,0
BL0304,2006,8,68,75,3.0335,0.0003
BL0403,2006,8,68,74,3.0558,0.0003
BL0308,2006,8,71,77,3.3603,0.0003
BL0329,2006,8,63,69,2.3048,0.0002
BL0283,2006,8,69,75,3.5894,0.0003
BL0377,2006,8,62,69,2.3967,0.0002
BL0286,2006,8,64,69,2.4204,0.0002
BL0307,2006,8,72,78,3.6904,0.0003
BL0330,2006,8,63,69,2.5082,0.0002
BL0751,2007,7,40,44,0.3786,0
BL0290,2006,8,64,70,2.5396,0.0002
BL0702,2008,8,41,45,0.4046,0
BL0302,2006,8,67,73,2.9353,0.0002
BL0327,2006,8,91,98,8.8303,0.0006
BL0317,2006,8,65,70,3.0385,0.0002
BL0489,2006,8,50,55,1.5437,0.0001
BL0753,2007,7,43,47,0.4993,0
BL0755,2007,7,45,50,0.5224,0
BL0395,2006,8,63,68,1.9635,0.0001
BL0291,2006,8,70,76,4.1574,0.0002
BL0391,2006,8,61,67,2.3249,0.0001
BL0309,2006,8,66,71,2.3769,0.0001
BL0688,2008,8,52,57,0.9578,0
BL0321,2006,8,78,85,4.9738,0.0002
BL0692,2008,8,53,59,0.9956,0
BL0281,2006,8,62,68,2.6153,0.0001
BL0326,2006,8,91,100,7.9915,0.0003
BL0384,2006,8,68,74,3.0275,0.0001
BL0701,2008,8,54,59,0.8678,0
BL2324,2017,7,40,44,0.597,0
