FISHID,Year,Month,SL_mm,TL_mm,WholeBodyWW_g,TOTAL_Liver_WW_g
BL2433,2012,8,69,75,3.60316,0.0169
BL0921,2012,8,55.53,60.63,1.687,0.0078
BL2231,2014,8,101,109,10.907,0.0507
BL2020,2018,7,59,64,2.0578,0.0095
BL0137,2009,8,68,72,3.4126,0.0158
BL2110,2013,8,88,95,7.1072,0.0329
BL0130,2009,8,73,80,4.1325,0.019
BL0981,2012,7,33.67,37.71,0.3613,0.0017
BL1004,2012,7,38.77,43.1,0.5595,0.0026
BL0922,2012,8,65.37,71.19,2.9901,0.0136
BL2268,2017,8,78,85,4.456,0.0203
BL2264,2017,8,77,83,4.599,0.0209
BL2144,2014,7,60,65,2.1194,0.0096
BL0919,2012,8,62.64,67.23,2.3075,0.0104
BL0026,2009,8,57,62,2.1988,0.0099
BL0277,2006,8,60,65,2.3203,0.0104
BL2434,2012,8,65,70,3.9955,0.0178
BL2178,2018,8,103,112,12.9459,0.0576
BL0184,2009,9,81,88,5.7394,0.0254
BL2202,2015,8,79,86,4.834,0.0213
BL0072,2009,7,39,43,0.638,0.0028
BL2430,2012,8,84,90,7.23201,0.03147
BL2461,2012,7,52,56,1.35128,0.00581
BL0189,2009,8,59,NA,2.0708,0.0089
BL2198,2018,8,57,62,1.9111,0.0082
BL0145,2009,8,74,80,4.9482,0.021
BL2071,2013,7,47,51,0.7589,0.0032
BL0985,2012,7,38.06,42.16,0.5079,0.0021
BL0047,2009,9,64,68,2.7358,0.0114
BL2269,2017,8,90,95,6.524,0.0271
BL0147,2009,8,80,86,6.0117,0.0249
BL0133,2009,8,60,65,2.1359,0.0088
BL2121,2013,8,78,84,5.0188,0.0206
BL2018,2018,7,73,78,4.3255,0.0177
BL2418,2012,8,61,65,2.20674,0.00899
BL2209,2015,8,98,105,9.9421,0.0404
BL0048,2009,9,58,63,2.1669,0.0088
BL2341,2016,7,70,75,3.283,0.0133
BL2275,2017,8,100,109,9.6855,0.039
BL2428,2012,8,52,57,1.38432,0.00553
BL0979,2012,7,45.72,50.32,0.8436,0.0034
BL0012,2009,8,76,81,4.5477,0.0178
BL2307,2015,7,48,53,1.004,0.0039
BL0011,2009,8,54,59,1.6512,0.0063
BL0989,2012,7,38.58,42.41,0.5533,0.0021
BL2462,2012,7,41,45,0.70391,0.00268
BL0008,2009,8,86,93,6.2877,0.0239
BL0052,2009,8,73,80,4.2616,0.0161
BL0053,2009,8,80,86,5.228,0.0195
BL2228,2015,8,95,102,10.186,0.0379
BL0057,2009,7,45,49,0.8875,0.0033
BL2147,2014,7,55,60,1.6153,0.006
BL2152,2014,7,48,53,1.005,0.0037
BL2052,2013,7,44,48,0.7498,0.0028
BL0271,2006,8,64,69,2.494,0.0092
BL0195,2009,8,59,65,2.4704,0.0091
BL0252,2006,8,60,65,2.1019,0.0077
BL2334,2016,7,60,64,2.084,0.0076
BL2263,2017,8,76,83,4.3542,0.0159
BL0144,2009,8,78,84,4.8796,0.0177
BL2422,2012,8,59,64,2.47617,0.00894
BL0063,2009,7,40,NA,0.6926,0.0025
BL2164,2014,7,53,57,1.3622,0.0049
BL2123,2013,8,78,84,4.6737,0.0166
BL2232,2016,7,70,75,3.044,0.0106
BL2012,2018,7,44,49,0.822,0.0029
BL2013,2018,7,52,56,1.174,0.0041
BL0930,2012,8,65.69,71.12,2.7811,0.0094
BL2338,2016,7,61,65,1.838,0.0062
BL0070,2009,7,41,45,0.7399,0.0025
BL0251,2006,8,69,74,2.8196,0.0095
BL2140,2014,7,55,59,1.486,0.0049
BL2130,2014,7,57,61,1.9004,0.0063
BL0076,2009,7,39,43,0.6686,0.0022
BL2126,2015,7,45,49,0.8028,0.0026
BL0075,2009,7,45,49,0.943,0.0031
BL2331,2017,7,58,62,1.979,0.0065
BL2113,2013,8,66,72,2.7282,0.0088
BL2261,2017,8,83,90,5.5568,0.0179
BL0142,2009,8,62,68,2.6037,0.0084
BL2122,2013,8,87,95,6.9203,0.0223
BL2274,2017,8,88,95,6.5657,0.0211
BL2063,2013,7,54,59,1.2271,0.0039
BL0054,2009,7,43,48,0.7838,0.0025
BL0911,2012,8,64.87,70.69,3.0282,0.0092
BL2168,2014,7,40,44,0.675,0.002
BL2194,2018,8,74,82,3.8704,0.0116
BL2344,2016,7,62,67,2.302,0.0069
BL0912,2012,8,57.22,62.81,1.8535,0.0055
BL0016,2009,8,66,72,3.3997,0.0101
BL2129,2015,7,41,46,0.6125,0.0018
BL0280,2006,8,63,69,2.4193,0.0071
BL2114,2013,8,88,95,7.3518,0.0215
BL0183,2009,9,75,82,4.9438,0.0143
BL2053,2013,7,50,55,1.3037,0.0038
BL2154,2014,7,52,57,1.3521,0.0039
BL2343,2016,7,56,60,1.612,0.0046
BL0124,2009,8,61,67,2.2751,0.0065
BL0986,2012,7,39.79,43.32,0.5631,0.0016
BL0138,2009,8,52,57,1.554,0.0043
BL0207,2009,8,46,50,0.8034,0.0022
BL0998,2012,7,33.47,36.04,0.379,0.001
BL2208,2015,8,80,87,5.5916,0.015
BL2145,2014,7,55,60,1.3428,0.0036
BL0393,2006,8,67,73,3.0062,0.008
BL0987,2012,7,39.09,42.53,0.639,0.0017
BL2437,2012,8,59,64,2.34719,0.00606
BL2160,2014,7,45,49,0.7884,0.002
BL0055,2009,7,42,NA,1.0057,0.0025
BL0071,2009,7,41,45,0.684,0.0017
BL0203,2009,8,45,50,1.0478,0.0026
BL0253,2006,8,57,62,1.9447,0.0048
BL2060,2013,7,51,56,0.9474,0.0023
BL2106,2013,8,82,87,5.9524,0.0143
BL0828,2010,7,42,46,0.3808,0.0009
BL2179,2018,8,108,115,12.9072,0.0305
BL0270,2006,8,64,70,2.7994,0.0066
BL2425,2012,8,54,57,1.48035,0.00347
BL2117,2013,8,63,68,2.4082,0.0056
BL2092,2013,8,55,60,1.6729,0.0039
BL0242,2009,7,41,44,0.7325,0.0017
BL2279,2017,8,92,100,6.908,0.0159
BL2458,2012,7,40,44,0.54667,0.00125
BL0098,2009,8,63,68,2.6724,0.0061
BL2120,2013,8,76,82,4.4008,0.01
BL0276,2006,8,92,99,8.411,0.019
BL2435,2012,8,66,71,3.00482,0.00671
