"","FISHID","Year","Month","StomachWW_g","ContentsWW_g","SL_mm","WholeBodyWW_g","Heatwave","StomachFullness","sqrtFullness"
"86","BL2316","2017","7",0.05712,0.04494,60,2.445,"Between",0.0187245318867028,0.136837611374588
"87","BL2031","2018","7",0.1947,0.10732,83,5.9426,"Between",0.0183915767538147,0.135615547610938
"88","BL2402","2019","7",0.04314,0.0244,49,1.3598,"Heatwave",0.0182716788977086,0.135172774247289
"89","BL2320","2017","7",0.05815,0.0384,64,2.183,"Between",0.0179054369113121,0.133811198751495
"90","BL2322","2017","7",0.07704,0.04971,65,2.835,"Between",0.0178473336708206,0.133593913300048
"91","BL2146","2014","7",0.03032,0.02273,50,1.2967,"Heatwave",0.0178418644081101,0.133573442001433
"92","BL2382","2019","7",0.03383,0.01401,43,0.8093,"Heatwave",0.0176162154685712,0.132726091890672
"93","BL2459","2012","7",0.01405,0.00658,35,0.3863,"Before",0.0173285578847572,0.131637980403671
"94","BL2307","2015","7",0.02408,0.0169,48,1.004,"Heatwave",0.0171208590821599,0.13084670069268
"95","BL0067","2009","7",0.01526,0.01286,42,0.7793,"Before",0.0167788737539794,0.129533292068022
"96","BL2306","2016","7",0.02673,0.02009,50,1.2247,"Heatwave",0.0166775968985813,0.129141770541453
"97","BL2054","2013","7",0.02107,0.01734,48,1.0588,"Before",0.0166497033011349,0.129033729315768
"98","BL2344","2016","7",0.05733,0.03756,62,2.302,"Heatwave",0.0165868824080126,0.128790071076976
"99","BL2292","2017","7",0.06603,0.03974,61,2.444,"Between",0.0165289943683295,0.128565136675265
"100","BL2395","2019","7",0.02975,0.01874,47,1.1572,"Heatwave",0.0164608330551798,0.128299778079231
"101","BL2462","2012","7",0.02372,0.01139,41,0.70391,"Before",0.0164471784208398,0.128246553251305
"102","BL0871","2010","7",0.02522,0.01661,46,1.0341,"Before",0.016324484761521,0.12776730709192
"103","BL0213","2009","7",0.01159,0.01026,40,0.6407,"Before",0.0162743480743608,0.127570953098112
"104","BL2138","2014","7",0.04071,0.02784,55,1.7441,"Heatwave",0.0162213184482538,0.127362939854001
"105","BL2080","2013","7",0.0486,0.04101,66,2.5744,"Before",0.0161877957993045,0.127231268952662
"106","BL0754","2007","7",0.02994,0.0094,45,0.5917,"Before",0.016142881676112,0.127054640513883
"107","BL0056","2009","7",0.01472,0.01085,40,0.6874,"Before",0.0160372478013451,0.126638255678705
"108","BL2049","2013","7",0.0141,0.01067,41,0.6868,"Before",0.0157809888630885,0.125622405895957
"109","BL2012","2018","7",0.01956,0.01272,44,0.822,"Between",0.015717674970344,0.125370151831862
"110","BL2314","2017","7",0.03113,0.02284,55,1.496,"Between",0.0155040864536099,0.124515406490964
"111","BL0831","2010","7",0.02611,0.0195,48,1.2807,"Before",0.0154614652711703,0.12434414047783
"112","BL2347","2016","7",0.06099,0.0463,67,3.046,"Heatwave",0.0154348768210154,0.124237179704851
"113","BL2156","2014","7",0.02186,0.01645,48,1.0833,"Heatwave",0.0154192248207339,0.12417417131084
"114","BL2235","2016","7",0.04793,0.03405,60,2.2458,"Heatwave",0.0153950491692099,0.124076787390752
"115","BL2130","2014","7",0.04066,0.02875,57,1.9004,"Heatwave",0.0153607779232228,0.123938605459408
"116","BL0063","2009","7",0.01374,0.01047,40,0.6926,"Before",0.0153489803996306,0.123891002093092
"117","BL2029","2018","7",0.23088,0.13559,95,9.2255,"Between",0.0149165393276721,0.122133285093262
"118","BL0759","2007","7",0.01707,0.00619,42,0.425,"Before",0.0147799718249325,0.121572907446242
"119","BL2061","2013","7",0.02226,0.01395,48,0.9591,"Before",0.0147595619742898,0.1214889376622
"120","BL2077","2013","7",0.02894,0.01809,50,1.2496,"Before",0.0146892838872604,0.121199355968835
"121","BL0770","2007","7",0.01192,0.00769,42,0.5319,"Before",0.0146696934434673,0.121118509912677
"122","BL0064","2009","7",0.01119,0.00989,40,0.6869,"Before",0.0146083514276008,0.120865013248668
"123","BL2331","2017","7",0.04445,0.02828,58,1.979,"Between",0.0144972112860892,0.120404365726867
"124","BL2407","2019","7",0.04381,0.02598,56,1.8473,"Heatwave",0.0142643796806712,0.119433578530793
"125","BL2015","2018","7",0.02465,0.01581,50,1.1251,"Between",0.0142523596174129,0.119383246803783
"126","BL2328","2017","7",0.01042,0.00742,38,0.531,"Between",0.014171664311089,0.119044799596996
"127","BL2048","2013","7",0.01262,0.01119,46,0.8044,"Before",0.014107235158407,0.118773882475934
"128","BL0774","2007","7",0.01044,0.00601,41,0.4361,"Before",0.0139738194331419,0.11821091080413
"129","BL2155","2014","7",0.00764,0.00566,35,0.4158,"Heatwave",0.0138001657970449,0.117474106921674
"130","BL2380","2019","7",0.04307,0.02091,53,1.5448,"Heatwave",0.013721462835244,0.117138647914529
"131","BL2016","2018","7",0.04888,0.02861,56,2.1241,"Between",0.0136531312485385,0.116846614193731
"132","BL2392","2019","7",0.02191,0.0125,45,0.9426,"Heatwave",0.0134394151166541,0.115928491392988
"133","BL2083","2013","7",0.02373,0.01797,53,1.3564,"Before",0.0134261784329401,0.115871387464465
"134","BL2025","2018","7",0.1189,0.07559,85,5.729,"Between",0.0133706913172758,0.11563170550189
"135","BL2464","2012","7",0.01343,0.00497,36,0.38005,"Before",0.0132505065586008,0.115110844661139
"136","BL0785","2010","7",0.02563,0.01945,50,1.4943,"Before",0.0131877818083195,0.114838067766397
"137","BL0243","2009","7",0.01146,0.01012,40,0.7776,"Before",0.0131860113618596,0.114830359060048
"138","BL2164","2014","7",0.02657,0.01714,53,1.3622,"Heatwave",0.0127429259661279,0.112884569211774
"139","BL2389","2019","7",0.05418,0.02285,56,1.8202,"Heatwave",0.0127131610426461,0.112752654259871
"140","BL0872","2010","7",0.0215,0.01354,46,1.08,"Before",0.0126962098906663,0.112677459550108
"141","BL2148","2014","7",0.03107,0.01906,55,1.5225,"Heatwave",0.0126775927206939,0.112594816580045
"142","BL0775","2007","7",0.01627,0.0058,43,0.4699,"Before",0.0124973066149537,0.111791353041967
"143","BL0854","2010","7",0.01351,0.00998,41,0.8203,"Before",0.0123161220258663,0.110978024968308
"144","BL0761","2007","7",0.00986,0.00535,44,0.4403,"Before",0.0123002643982067,0.110906557056861
"145","BL0838","2010","7",0.02302,0.01492,48,1.2295,"Before",0.01228408174019,0.11083357677252
"146","BL2167","2014","7",0.00775,0.00599,39,0.4964,"Heatwave",0.0122142696927061,0.11051818715807
"147","BL2060","2013","7",0.01299,0.0114,51,0.9474,"Before",0.0121794871794872,0.110360713931576
"148","BL2305","2016","7",0.02878,0.01904,54,1.5837,"Heatwave",0.0121687778814567,0.11031218373986
"149","BL2396","2019","7",0.02507,0.01438,48,1.2034,"Heatwave",0.0120939933726935,0.109972693759376
"150","BL2243","2016","7",0.0634,0.04324,70,3.623,"Heatwave",0.0120790220573446,0.109904604350066
"151","BL2150","2014","7",0.01707,0.01264,48,1.0616,"Heatwave",0.0120500305064063,0.109772630953286
"152","BL2166","2014","7",0.01689,0.01276,48,1.0789,"Heatwave",0.0119684094021423,0.109400225786523
"153","BL0848","2010","7",0.01729,0.01171,44,0.9981,"Before",0.0118715720962297,0.108956744152116
"154","BL2298","2016","7",0.04837,0.03,62,2.56,"Heatwave",0.0118577075098814,0.108893101296094
"155","BL2338","2016","7",0.02701,0.02153,61,1.838,"Heatwave",0.0118526592787109,0.108869919071849
"156","BL2038","2018","7",0.06627,0.03325,64,2.8464,"Between",0.0118194906066154,0.108717480685561
"157","BL2010","2018","7",0.06154,0.02894,62,2.5521,"Between",0.0114697442889076,0.107096892059983
"158","BL2252","2016","7",0.09331,0.05474,75,4.847,"Heatwave",0.011422585585924,0.106876496882729
"159","BL0755","2007","7",0.01074,0.00576,45,0.5224,"Before",0.0111489625270982,0.105588647718863
"160","BL2047","2013","7",0.01048,0.00869,43,0.7917,"Before",0.0110981979795916,0.105347985171011
"161","BL0758","2007","7",0.01231,0.00546,44,0.5157,"Before",0.0107008466603951,0.103444896734421
"162","BL2232","2016","7",0.05233,0.03194,70,3.044,"Heatwave",0.0106040384321693,0.102975911902587
"163","BL2346","2016","7",0.03827,0.02919,65,2.789,"Heatwave",0.0105768150706027,0.102843643802632
"164","BL0237","2009","7",0.00488,0.00391,33,0.3757,"Before",0.0105166895290352,0.102550911887877
"165","BL0799","2010","7",0.01957,0.01135,44,1.0962,"Before",0.0104622758906761,0.102285267222001
"166","BL0234","2009","7",0.01191,0.00862,43,0.8532,"Before",0.01020625636411,0.10102601825327
"167","BL0231","2009","7",0.00361,0.00292,30,0.2892,"Before",0.0101998043873131,0.100994080951871
"168","BL2042","2018","7",0.02095,0.01038,50,1.0296,"Between",0.0101842585506564,0.100917087505815
"169","BL0061","2009","7",0.00812,0.00523,37,0.5247,"Before",0.010067953876066,0.100339194117085
"170","BL2302","2016","7",0.02357,0.01816,57,1.822,"Heatwave",0.0100674117438354,0.100336492582885
"171","BL0873","2010","7",0.02005,0.01176,47,1.181,"Before",0.0100578153330368,0.100288660042085
"172","BL2017","2018","7",0.05992,0.027,65,2.7145,"Between",0.010046511627907,0.100232288350147
"173","BL2027","2018","7",0.03349,0.02041,60,2.0577,"Between",0.010018210465864,0.100091010914387
"174","BL0812","2010","7",0.01961,0.01257,48,1.2826,"Before",0.00989740399833075,0.0994856974561205
"175","BL2240","2016","7",0.03203,0.02365,63,2.4438,"Heatwave",0.00977212156271305,0.0988540417115712
"176","BL0072","2009","7",0.00854,0.00616,39,0.638,"Before",0.00974930362116992,0.0987385619764128
"177","BL0852","2010","7",0.01107,0.00819,42,0.8889,"Before",0.0092993153251354,0.096432957670785
"178","BL2394","2019","7",0.01422,0.00553,38,0.6063,"Heatwave",0.00920485377099389,0.095941929160268
"179","BL2286","2017","7",0.06121,0.03331,70,3.697,"Between",0.00909192644574186,0.0953515938290591
"180","BL0782","2010","7",0.02093,0.01223,49,1.3688,"Before",0.00901538438856823,0.0949493780314975
"181","BL2142","2014","7",0.00752,0.00661,45,0.7441,"Heatwave",0.00896283339435111,0.0946722419421401
"182","BL2308","2015","7",0.01661,0.01269,53,1.455,"Heatwave",0.00879838592258252,0.0937997117404021
"183","BL0839","2010","7",0.01873,0.00844,45,0.9678,"Before",0.00879753168779186,0.093795158125523
"184","BL2070","2013","7",0.01158,0.00968,49,1.1148,"Before",0.00875922976690314,0.0935907568454446
"185","BL0766","2007","7",0.02246,0.00573,47,0.6612,"Before",0.00874181884754451,0.0934976943434677
"186","BL2135","2014","7",0.00497,0.00497,37,0.5894,"Heatwave",0.00850401245658162,0.0922172026065724
"187","BL2301","2016","7",0.02037,0.01264,52,1.499,"Heatwave",0.00850399634005221,0.0922171152230008
"188","BL2337","2016","7",0.03386,0.01989,62,2.365,"Heatwave",0.00848147848075357,0.0920949427534084
"189","BL0066","2009","7",0.00955,0.00444,39,0.5301,"Before",0.00844652436936423,0.0919049746714737
"190","BL2236","2016","7",0.05085,0.03139,70,3.9249,"Heatwave",0.00806213416685716,0.0897893878298385
"191","BL0855","2010","7",0.0063,0.00453,36,0.5665,"Before",0.00806092851931598,0.0897826738258333
"192","BL0862","2010","7",0.00511,0.00334,32,0.42,"Before",0.00801612825805213,0.0895328334079299
"193","BL2129","2015","7",0.00619,0.00477,41,0.6125,"Heatwave",0.00784888025932569,0.0885939064457917
"194","BL2152","2014","7",0.01081,0.00772,48,1.005,"Heatwave",0.00774105567142628,0.0879832692699372
"195","BL2246","2016","7",0.07001,0.04154,80,5.553,"Heatwave",0.00753702285782715,0.0868160288070535
"196","BL0236","2009","7",0.0038,0.00295,34,0.3966,"Before",0.0074939667217071,0.0865677002218905
"197","BL2011","2018","7",0.02426,0.00899,50,1.2367,"Between",0.00732257617841347,0.0855720525546365
"198","BL0843","2010","7",0.01126,0.00729,45,1.0594,"Before",0.00692893328644343,0.0832402143584664
"199","BL2084","2013","7",0.01213,0.00726,54,1.0552,"Before",0.00692787755024143,0.0832338726135065
"200","BL2341","2016","7",0.04142,0.02255,70,3.283,"Heatwave",0.00691622322072107,0.0831638336100559
"201","BL0879","2010","7",0.02594,0.00989,50,1.4723,"Before",0.00676280933527533,0.0822363018093307
"202","BL0228","2009","7",0.00576,0.00421,37,0.6422,"Before",0.00659884951174783,0.0812333029720436
"203","BL2317","2017","7",0.09511,0.03769,85,5.753,"Between",0.00659456792369968,0.081206945045973
"204","BL2140","2014","7",0.0146,0.00953,55,1.486,"Heatwave",0.00645458424485428,0.080340427213541
